booking_id,lead_id,client_id,package_id,package_name,service_category,booking_date,session_date,booking_status,booking_value
179,1112,955,6,Wedding Collection,Weddings,2024-03-31,2024-07-06,confirmed,3252.28
180,1699,704,2,Essential Portrait,Family portraits,2025-12-28,2026-02-12,completed,480.31
181,1107,878,5,Brand Builder,Branding/headshots,2025-09-27,2025-11-15,completed,894.22
182,288,439,5,Brand Builder,Branding/headshots,2025-04-25,2025-08-09,completed,890.96
183,438,988,2,Essential Portrait,Family portraits,2024-12-30,2025-02-09,completed,453.36
184,38,1157,2,Essential Portrait,Newborn,2024-08-03,2024-11-17,rescheduled,438.82
185,1042,428,2,Essential Portrait,Maternity,2024-04-17,2024-06-19,completed,502.14
186,1021,518,2,Essential Portrait,Newborn,2025-06-13,2025-09-22,completed,463.44
187,1026,749,1,Mini Moment,Mini sessions,2024-01-22,2024-05-01,completed,238.65
188,1258,188,2,Essential Portrait,Family portraits,2025-04-22,2025-08-19,completed,455.69
189,1484,143,6,Wedding Collection,Weddings,2025-05-12,2025-07-12,rescheduled,3238.2
190,1096,582,6,Wedding Collection,Weddings,2025-08-09,2025-11-25,completed,2907.77
191,1051,991,6,Wedding Collection,Weddings,2025-05-15,2025-08-29,rescheduled,3031.07
192,100,1163,6,Wedding Collection,Weddings,2025-04-27,2025-08-09,confirmed,2959.96
193,481,119,2,Essential Portrait,Family portraits,2024-03-13,2024-06-06,cancelled,499.48
194,237,1179,1,Mini Moment,Mini sessions,2025-10-24,2026-01-02,completed,226.31
195,110,1126,6,Wedding Collection,Weddings,2025-06-28,2025-08-29,completed,3265.54
196,1278,403,1,Mini Moment,Mini sessions,2024-04-20,2024-06-19,cancelled,238.01
197,1689,615,5,Brand Builder,Branding/headshots,2026-01-04,2026-05-02,completed,814.97
198,1214,900,1,Mini Moment,Mini sessions,2024-09-06,2024-11-03,completed,222.17
199,1283,1054,1,Mini Moment,Mini sessions,2025-10-23,2025-11-29,completed,240.07
200,842,372,1,Mini Moment,Mini sessions,2025-04-24,2025-06-27,completed,214.01
201,675,377,4,Milestone,Graduation,2025-05-17,2025-06-25,rescheduled,495.1
202,739,1178,2,Essential Portrait,Newborn,2025-04-16,2025-05-31,completed,450.88
203,1747,816,1,Mini Moment,Mini sessions,2025-03-23,2025-04-06,cancelled,239.7
204,1483,1170,6,Wedding Collection,Weddings,2025-10-04,2025-10-18,cancelled,2989.01
205,1113,105,4,Milestone,Graduation,2024-04-29,2024-06-05,completed,511.75
206,1016,639,2,Essential Portrait,Maternity,2025-04-15,2025-04-26,cancelled,428.03
207,1173,872,6,Wedding Collection,Weddings,2024-12-22,2025-04-11,completed,3279.66
208,643,705,4,Milestone,Graduation,2024-12-17,2025-03-26,cancelled,523.78
209,990,315,4,Milestone,Graduation,2025-05-08,2025-08-28,confirmed,487.96
210,332,429,4,Milestone,Graduation,2025-03-26,2025-06-08,completed,555.82
211,1272,103,4,Milestone,Graduation,2024-04-30,2024-05-29,completed,555.79
212,1311,1118,2,Essential Portrait,Family portraits,2025-12-10,2026-03-01,cancelled,469.51
213,809,232,6,Wedding Collection,Weddings,2025-06-20,2025-09-20,completed,3039.2
214,1288,364,2,Essential Portrait,Maternity,2024-07-12,2024-09-28,completed,502.59
215,1713,71,6,Wedding Collection,Weddings,2024-06-29,2024-10-05,completed,3311.81
216,847,404,2,Essential Portrait,Family portraits,2025-01-01,2025-02-26,completed,490.36
217,1234,403,3,Signature Story,Couples,2025-06-16,2025-09-10,completed,662.79
218,1402,139,2,Essential Portrait,Newborn,2024-08-18,2024-10-26,completed,483.8
219,328,465,2,Essential Portrait,Maternity,2025-05-21,2025-09-01,cancelled,447.62
220,538,304,1,Mini Moment,Mini sessions,2025-07-23,2025-09-02,completed,237.25
221,528,106,4,Milestone,Graduation,2025-05-29,2025-08-25,completed,553.36
222,1162,672,2,Essential Portrait,Maternity,2024-08-10,2024-08-27,completed,448.71
223,329,398,4,Milestone,Graduation,2025-03-13,2025-04-18,cancelled,482.66
224,139,1039,2,Essential Portrait,Maternity,2024-09-14,2024-10-02,completed,505.92
225,1287,1094,2,Essential Portrait,Maternity,2024-12-09,2024-12-24,confirmed,502.02
226,1436,8,2,Essential Portrait,Family portraits,2025-11-17,2025-12-31,confirmed,497.33
227,1357,15,6,Wedding Collection,Weddings,2024-05-16,2024-06-27,completed,2926.04
228,960,636,6,Wedding Collection,Weddings,2025-10-16,2025-12-21,rescheduled,3282.29
229,231,602,4,Milestone,Graduation,2024-12-19,2025-03-15,completed,496.29
230,1253,923,1,Mini Moment,Mini sessions,2025-02-08,2025-04-27,completed,216.64
231,952,202,6,Wedding Collection,Weddings,2025-10-29,2025-12-03,completed,3141.26
232,744,954,5,Brand Builder,Branding/headshots,2024-06-26,2024-07-12,cancelled,805.23
233,1723,858,2,Essential Portrait,Family portraits,2024-03-20,2024-05-19,completed,429.75
234,1432,74,2,Essential Portrait,Maternity,2024-10-19,2024-11-25,completed,456.02
235,1324,407,5,Brand Builder,Branding/headshots,2024-04-25,2024-07-13,cancelled,908.27
236,1037,341,6,Wedding Collection,Weddings,2024-07-11,2024-11-07,completed,3297.46
237,1593,662,2,Essential Portrait,Family portraits,2025-03-11,2025-04-06,completed,466.7
238,617,528,3,Signature Story,Couples,2025-05-03,2025-08-04,completed,669.52
239,1083,30,2,Essential Portrait,Family portraits,2024-10-29,2025-02-15,completed,440.67
240,658,229,2,Essential Portrait,Maternity,2024-03-23,2024-05-11,rescheduled,468.38
241,936,575,2,Essential Portrait,Family portraits,2025-04-14,2025-05-12,completed,509.94
242,1774,474,5,Brand Builder,Branding/headshots,2025-11-26,2026-02-06,completed,856.28
243,1455,1151,5,Brand Builder,Branding/headshots,2026-01-19,2026-05-06,completed,800.33
244,1400,958,2,Essential Portrait,Newborn,2024-12-03,2025-02-06,confirmed,472.82
245,1290,283,5,Brand Builder,Branding/headshots,2025-04-13,2025-05-04,completed,900.39
246,89,626,1,Mini Moment,Mini sessions,2025-01-04,2025-05-02,completed,226.84
247,573,1137,1,Mini Moment,Mini sessions,2024-04-27,2024-08-16,completed,232.83
248,946,240,5,Brand Builder,Branding/headshots,2024-01-23,2024-05-15,completed,844.83
249,808,830,1,Mini Moment,Mini sessions,2024-10-11,2024-11-13,completed,232.73
250,684,283,2,Essential Portrait,Family portraits,2025-02-03,2025-02-23,confirmed,500.65
251,307,498,6,Wedding Collection,Weddings,2025-03-17,2025-06-06,completed,3070.41
252,347,477,2,Essential Portrait,Family portraits,2024-10-12,2025-01-25,cancelled,478.72
253,887,415,1,Mini Moment,Mini sessions,2024-10-07,2024-11-01,rescheduled,213.18
254,343,1043,4,Milestone,Graduation,2024-07-02,2024-09-20,rescheduled,522.89
255,1459,366,1,Mini Moment,Mini sessions,2024-02-04,2024-03-19,completed,233.48
256,1284,1114,4,Milestone,Graduation,2024-08-25,2024-12-23,completed,564.07
257,836,202,6,Wedding Collection,Weddings,2025-05-07,2025-06-17,completed,3421.88
258,833,663,2,Essential Portrait,Family portraits,2024-12-02,2025-02-16,completed,448.34
259,1527,549,3,Signature Story,Couples,2024-07-29,2024-08-13,completed,587.87
260,601,1038,5,Brand Builder,Branding/headshots,2026-01-10,2026-02-20,completed,882.07
261,725,409,4,Milestone,Graduation,2025-10-29,2025-11-24,cancelled,562.83
262,1353,813,1,Mini Moment,Mini sessions,2024-09-13,2024-10-14,completed,206.88
263,1533,115,4,Milestone,Graduation,2025-05-30,2025-08-07,completed,554.6
264,1345,1073,1,Mini Moment,Mini sessions,2025-10-28,2026-02-17,completed,229.52
265,983,451,4,Milestone,Graduation,2025-02-10,2025-04-04,completed,535.52
266,507,896,4,Milestone,Graduation,2024-05-19,2024-07-28,completed,485.41
267,30,1102,2,Essential Portrait,Family portraits,2024-11-21,2025-02-02,completed,484.81
268,250,832,4,Milestone,Graduation,2024-11-07,2024-11-23,completed,527.52
269,1783,742,3,Signature Story,Couples,2025-06-04,2025-09-05,completed,648.09
270,1354,893,5,Brand Builder,Branding/headshots,2024-07-24,2024-10-03,completed,908.21
271,1518,520,5,Brand Builder,Branding/headshots,2024-09-26,2024-11-25,completed,832.15
272,1551,99,4,Milestone,Graduation,2025-06-18,2025-07-14,completed,555.91
273,239,741,3,Signature Story,Couples,2025-12-16,2026-02-04,rescheduled,586.36
274,1738,816,2,Essential Portrait,Family portraits,2024-05-17,2024-08-05,cancelled,470.34
275,1434,203,5,Brand Builder,Branding/headshots,2025-04-10,2025-06-17,completed,886.15
276,1742,308,2,Essential Portrait,Newborn,2025-12-04,2026-01-18,confirmed,468.64
277,598,246,3,Signature Story,Couples,2025-10-27,2026-01-18,completed,616.27
278,1576,43,2,Essential Portrait,Newborn,2025-10-26,2026-01-02,completed,503.67
279,465,607,4,Milestone,Graduation,2025-04-16,2025-06-23,completed,555.44
280,852,685,6,Wedding Collection,Weddings,2025-08-24,2025-09-23,completed,3088.97
281,557,753,2,Essential Portrait,Maternity,2025-12-20,2026-02-22,completed,457.87
282,1691,762,2,Essential Portrait,Family portraits,2024-09-13,2024-12-21,completed,483.64
283,604,951,4,Milestone,Graduation,2024-07-10,2024-09-16,completed,507.0
284,1718,1107,3,Signature Story,Couples,2024-01-25,2024-02-02,completed,593.12
285,998,586,2,Essential Portrait,Newborn,2024-03-27,2024-07-08,completed,447.97
286,317,371,2,Essential Portrait,Family portraits,2025-12-24,2026-01-07,completed,498.46
287,886,86,2,Essential Portrait,Family portraits,2025-03-21,2025-06-21,completed,445.17
288,677,163,1,Mini Moment,Mini sessions,2025-02-27,2025-06-04,completed,221.83
289,162,638,1,Mini Moment,Mini sessions,2024-12-03,2025-02-11,completed,231.61
290,712,503,4,Milestone,Graduation,2025-09-20,2025-10-02,completed,546.01
291,309,484,6,Wedding Collection,Weddings,2024-05-02,2024-08-08,completed,3198.01
292,376,315,5,Brand Builder,Branding/headshots,2024-10-15,2024-12-02,completed,891.45
293,1688,1104,2,Essential Portrait,Newborn,2024-04-05,2024-04-28,cancelled,507.43
294,1652,773,2,Essential Portrait,Family portraits,2025-08-19,2025-10-28,completed,489.47
295,1651,827,3,Signature Story,Couples,2024-10-03,2024-11-19,completed,623.18
296,247,991,1,Mini Moment,Mini sessions,2025-08-13,2025-11-27,completed,212.44
297,993,1058,2,Essential Portrait,Family portraits,2024-12-23,2025-02-11,completed,454.69
298,768,1165,2,Essential Portrait,Newborn,2024-08-21,2024-11-14,completed,464.39
299,932,1143,2,Essential Portrait,Family portraits,2025-02-27,2025-05-23,rescheduled,438.25
300,420,726,3,Signature Story,Couples,2025-12-21,2026-01-28,completed,615.17
301,404,554,1,Mini Moment,Mini sessions,2025-03-02,2025-04-02,rescheduled,215.54
302,171,130,6,Wedding Collection,Weddings,2024-01-06,2024-01-21,completed,3048.87
303,1577,971,6,Wedding Collection,Weddings,2024-07-22,2024-08-03,completed,3184.46
304,432,1078,2,Essential Portrait,Family portraits,2025-12-03,2026-03-01,completed,428.48
305,136,475,1,Mini Moment,Mini sessions,2024-12-17,2025-02-25,completed,217.37
306,1224,577,2,Essential Portrait,Family portraits,2024-12-05,2025-03-29,completed,451.9
307,262,235,5,Brand Builder,Branding/headshots,2024-09-06,2024-10-04,completed,822.97
308,1754,511,1,Mini Moment,Mini sessions,2024-10-08,2024-11-16,rescheduled,237.97
309,199,868,5,Brand Builder,Branding/headshots,2025-04-05,2025-05-17,completed,817.92
310,1702,628,3,Signature Story,Couples,2025-12-13,2026-03-02,completed,668.37
311,1782,962,4,Milestone,Graduation,2025-11-13,2026-01-09,cancelled,547.36
312,1211,217,2,Essential Portrait,Family portraits,2025-09-05,2025-11-08,completed,439.77
313,410,921,6,Wedding Collection,Weddings,2024-06-17,2024-09-20,rescheduled,3223.46
314,1364,1135,6,Wedding Collection,Weddings,2025-03-21,2025-03-28,completed,3078.75
315,418,685,3,Signature Story,Couples,2024-11-12,2024-12-01,completed,627.4
316,492,913,2,Essential Portrait,Family portraits,2024-10-25,2025-01-08,completed,445.49
317,1361,172,1,Mini Moment,Mini sessions,2025-05-30,2025-08-19,rescheduled,217.99
318,611,162,6,Wedding Collection,Weddings,2024-02-13,2024-05-18,completed,2999.91
319,1231,820,4,Milestone,Graduation,2025-05-22,2025-05-30,completed,511.23
320,176,78,2,Essential Portrait,Newborn,2025-07-15,2025-09-26,rescheduled,473.11
321,1624,208,1,Mini Moment,Mini sessions,2025-09-28,2025-11-03,completed,208.28
